"Marca temporal","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría"
"2024/05/18 12:05:16 a. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/18 3:34:51 a. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/18 4:49:28 p. m. EEST","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2024/05/19 11:07:33 a. m. EEST","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/19 8:57:20 p. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo"
"2024/05/20 6:03:59 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
"2024/05/20 6:28:23 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo"
"2024/05/20 6:56:15 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/20 8:46:01 p. m. EEST","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/20 8:52:58 p. m. EEST","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo"
"2024/05/20 9:32:26 p. m. EEST","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo"
"2024/05/21 12:17:56 a. m. EEST","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/21 1:20:17 p. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo"
